0	1	1	1
1	2	4	6
2	0	4	12
3	0	0	8
4	2	4	6
5	0	8	24
6	0	0	24
7	0	0	0
8	0	4	12
9	2	4	30
10	0	8	24
11	0	0	24
12	0	0	8
13	0	8	24
14	0	0	48
15	0	0	0
16	2	4	6
17	0	8	48
18	0	4	36
19	0	0	24
20	0	8	24
21	0	0	48
22	0	0	24
23	0	0	0
24	0	0	24
25	2	12	30
26	0	8	72
27	0	0	32
28	0	0	0
29	0	8	72
30	0	0	48
31	0	0	0
32	0	4	12
33	0	0	48
34	0	8	48
35	0	0	48
36	2	4	30
37	0	8	24
38	0	0	72
39	0	0	0
40	0	8	24
41	0	8	96
42	0	0	48
43	0	0	24
44	0	0	24
45	0	8	72
46	0	0	48
47	0	0	0
48	0	0	8
49	2	4	54
50	0	12	84
51	0	0	48
52	0	8	24
53	0	8	72
54	0	0	96
55	0	0	0
56	0	0	48
57	0	0	48
58	0	8	24
59	0	0	72
60	0	0	0
61	0	8	72
62	0	0	96
63	0	0	0
64	2	4	6
65	0	16	96
66	0	0	96
67	0	0	24
68	0	8	48
69	0	0	96
70	0	0	48
71	0	0	0
72	0	4	36
73	0	8	48
74	0	8	120
75	0	0	56
76	0	0	24
77	0	0	96
78	0	0	48
79	0	0	0
80	0	8	24
81	2	4	102
82	0	8	48
83	0	0	72
84	0	0	48
85	0	16	48
86	0	0	120
87	0	0	0
88	0	0	24
89	0	8	144
90	0	8	120
91	0	0	48
92	0	0	0
93	0	0	48
94	0	0	96
95	0	0	0
96	0	0	24
97	0	8	48
98	0	4	108
99	0	0	72
100	2	12	30
101	0	8	168
102	0	0	48
103	0	0	0
104	0	8	72
105	0	0	96
106	0	8	72
107	0	0	72
108	0	0	32
109	0	8	72
110	0	0	144
111	0	0	0
112	0	0	0
113	0	8	96
114	0	0	96
115	0	0	48
116	0	8	72
117	0	8	120
118	0	0	72
119	0	0	0
120	0	0	48
121	2	4	78
122	0	8	120
123	0	0	48
124	0	0	0
125	0	16	144
126	0	0	144
127	0	0	0
128	0	4	12
129	0	0	144
130	0	16	48
131	0	0	120
132	0	0	48
133	0	0	48
134	0	0	168
135	0	0	0
136	0	8	48
137	0	8	96
138	0	0	96
139	0	0	72
140	0	0	48
141	0	0	96
142	0	0	48
143	0	0	0
144	2	4	30
145	0	16	96
146	0	8	192
147	0	0	56
148	0	8	24
149	0	8	168
150	0	0	120
151	0	0	0
152	0	0	72
153	0	8	144
154	0	0	96
155	0	0	96
156	0	0	0
157	0	8	72
158	0	0	96
159	0	0	0
160	0	8	24
161	0	0	192
162	0	4	108
163	0	0	24
164	0	8	96
165	0	0	96
166	0	0	120
167	0	0	0
168	0	0	48
169	2	12	78
170	0	16	144
171	0	0	120
172	0	0	24
173	0	8	168
174	0	0	144
175	0	0	0
176	0	0	24
177	0	0	48
178	0	8	96
179	0	0	120
180	0	8	72
181	0	8	120
182	0	0	144
183	0	0	0
184	0	0	48
185	0	16	192
186	0	0	144
187	0	0	48
188	0	0	0
189	0	0	192
190	0	0	48
191	0	0	0
192	0	0	8
193	0	8	48
194	0	8	240
195	0	0	96
196	2	4	54
197	0	8	120
198	0	0	120
199	0	0	0
200	0	12	84
201	0	0	144
202	0	8	72
203	0	0	96
204	0	0	48
205	0	16	96
206	0	0	240
207	0	0	0
208	0	8	24
209	0	0	240
210	0	0	96
211	0	0	72
212	0	8	72
213	0	0	96
214	0	0	72
215	0	0	0
216	0	0	96
217	0	0	96
218	0	8	120
219	0	0	96
220	0	0	0
221	0	16	192
222	0	0	144
223	0	0	0
224	0	0	48
225	2	12	150
